Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	1_01	1_02	1_03	1_04	1_05	1_06	1_07	1_08	1_09	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	1_24	1_25	1_26	1_27	1_28	1_29	1_30	1_31	1_32	1_33	1_34	1_35	1_36	1_37	1_38	1_39	1_40	2_01	2_02	2_03	2_04	2_05	2_06	2_07	2_08	2_09	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	2_24	2_25	2_26	2_27	2_28	2_29	2_30	2_31	2_32	2_33	2_34	2_35	2_36	2_37	2_38	2_39	2_40	3_01	3_02	3_03	3_04	3_05	3_06	3_07	3_08	3_09	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	3_24	3_25	3_26	3_27	3_28	3_29	3_30	3_31	3_32	3_33	3_34	3_35	3_36	3_37	3_38	3_39	3_40	4_01	4_02	4_03	4_04	4_05	4_06	4_07	4_08	4_09	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	4_24	4_25	4_26	4_27	4_28	4_29	4_30	4_31	4_32	4_33	4_34	4_35	4_36	4_37	4_38	4_39	4_40	5_01	5_02	5_03	5_04	5_05	5_06	5_07	5_08	5_09	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	5_24	5_25	5_26	5_27	5_28	5_29	5_30	5_31	5_32	5_33	5_34	5_35	5_36	5_37	5_38	5_39	5_40	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23	6_24	6_25	6_26	6_27	6_28	6_29	6_30	6_31	6_32	6_33	6_34	6_35	6_36	6_37	6_38	6_39	6_40	7_1	7_2	7_3	7_4	7_5	7_6	7_7	7_8	7_9	7_10	7_11	7_12	7_13	7_14	7_15	7_16	7_17	7_18	7_19	7_20	7_21	7_22	7_23	7_24	7_25	7_26	7_27	7_28	7_29	7_30	7_31	7_32	7_33	7_34	7_35	7_36	7_37	7_38	7_39	7_40	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	8_22	8_23	8_24	8_25	8_26	8_27	8_28	8_29	8_30	8_31	8_32	8_33	8_34	8_35	8_36	8_37	8_38	8_39	8_40	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_16	9_17	9_18	9_19	9_20	9_21	9_22	9_23	9_24	9_25	9_26	9_27	9_28	9_29	9_30	9_31	9_32	9_33	9_34	9_35	9_36	9_37	9_38	9_39	9_40	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14	10_15	10_16	10_17	10_18	10_19	10_20	10_21	10_22	10_23	10_24	10_25	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34	10_35	10_36	10_37	10_38	10_39	10_40
A0A7M7FZB7	A0A7M7FZB7	A0A7M7FZB7_APIME	725086	Uncharacterized protein															2488.28	3331.25	2343.83	1529.7	1641.24	3914.3	2725.4	1127.97	2391.24	1971.11	1824.29																												1096.75	2906.4	8561.1	8596.76	4829.5	3452.8	3044.94	4145.08	3580.24	2986.63	2805.05	4847.9	2574.83																												1326.14	2108.68	6379.56	7721.56	4265.52	2761.54	3006.18	4896.17	2252.93	2592.24	3831.54	4128.14	6522.1																															6233.76	7262.57	5122.23		1741.38	4530.67	4749.43	1457.72	5047.4	3748.5	3588.38																								739.62		691.283	754.041	1518.79	2581	8246.9	10924.7	5594.6	3609.98	1749.92	3553.95	2055.16	1783.9	2327.68	3495.39	2384.11																															1232.96	3777.48	7691.74	5670.5	4113.17	2075.59	2002.67	2610.24	2000.2	1662.32	1845.33	5152.32	4714.86																												3503.82	5129.46	1370.46				2357.16		928.967	1996.47																															2152.51																																								3932.48	2920.94	3016.61	1235.83	2975.38	1547.55		1508.51	2171.34	3224.92																														1861.96	3567.64	3400.07	2097.58	809.681	3234.42	2089.17	2911.44	1195.21	2518.22	3800.5	906.573													
A0A7M7FZC2;A0A7M7GV00;A0A7M7IN62;A0A7M7LS16	A0A7M7LS16;A0A7M7GV00;A0A7M7FZC2;A0A7M7IN62	A0A7M7FZC2_APIME;A0A7M7GV00_APIME;A0A7M7IN62_APIME;A0A7M7LS16_APIME		GATA-type domain-containing protein																																																																																																																2734.09			1643.56	3803.06	2551.69	2995.01		1950.88																																																																																																																																																																																																																																																																																								
A0A7M7FZD8	A0A7M7FZD8	A0A7M7FZD8_APIME	727110	Bee-milk protein		6903.46		6456.82			5358.17		2976.2	2945.6	5182.14	4207.69	4527.84	5348	4540.41	2882.69	3144.87	3072.31	3661	4659.92	4006.21	6427.95	5514.46	4837.96	5395.74	5974.62	8561.17		6761.82			4462.17										6933.83						2771.72	2514.4	3105.43	3258.7	3615.36	3842.4	2636.36	2852.43	1196.19	1453.8	2394.94	2616.6	3792.39	5555.88	8731.42	5314.01	9297.87	9304.05	15281.5	8338.54	6668.73	7244.41				5610.37	1054.22							6514.48		5507.39					6218.06	2829.13	4370.65	3577.79	3307.19	3522.82	3206.03	2702.52	1902.04	1991.46	2373.82	3774.22	3308.51	2619.12	7549.6	8701.58	9121.49	9920.31	8213.78	45016.8	7094.42	6249.3																				3881.65			3827.58	6091.31	3799.96		3384.23		2010.78		1556.23	4332.39	3812.24	5786.88	7826.37	6308.12	5914.85	8121.93	8539.78														5619.43	7771.82						3883.42	2952.13	2585.44	2827.03	2458.34	3108.23	3134.73	2353.74	1856.39	889.806	2201.13	1992.12	3793.08	6618.57	10581.4	9178.07	6442.03	8268.02	10671.6		26855						6361.86						10198.6			6820.73									2789.96	7197.83	2031.56	1410.44		1861.35	2344.25	1507.93	1603.59		1626.89	1820.02	3038.5	5687.65	6436.29	4675.3	4144.81	6315.03	4959.95					4022.55					7708.28				6165.76				5008.94	3712.85	2483.49	4354.11							1430.6		5836.59	4755.17	6687.72	7623.48	4814.14	4809.85	12931.4	238893													4264.67							3508.22		10689.1			9315.1			7214.1	4496.57	1424.76		2950.46	2597.22	4494.46	6015.52	5904.82	3898.82	5032.54	90943.5	73760.9	22771.6	6278.94																		3313.79	4295.38		4712.71	4151.72		1756.42	3627.78	3019.11	1854.47	1719.45	3240.91	2717.33	5860.86	6911.87	10141.6	9257.24	4552.17	5737.64	9044.46													3627.2								3346.36	5272.67	2890.32		3017.8	2568.45	2547.55	2117.67	2379.13	1954.72	1889.56		3914.51	3288.18	2764.72	4434.9	5670	4380.56	4650.53	2609.48		2487.8											
A0A7M7FZE5	A0A7M7LRV6;A0A7M7FZE5	A0A7M7FZE5_APIME	725217	Uncharacterized protein										1336					1490.64				8605.52	5367.83																											2102.75											2639.71																							2784.04					1695.97			1850.22	1618.62	1127.37	1093.48		1443.95	925.479	814.188		4066.11	12365.1	11208.4																																								14998.1	3278.12	9336.7																					4089.24	4994.03	3621.13		2238.42		1515.76	1585.43	1549.25	1081.29	1197.72	1194.37	1319.63	2296.67	1507.74		2516.25	7528.78	6959.06	2347.09																																								975.317	14451.9	18481.6	3568.69																																																																																																																1279.49		6419.58	28944	37951.9						1301.09																																2226.79	19259.1	29965.5	5921.21	4018.29																	
A0A7M7FZE7	A0A7M7FZE7	A0A7M7FZE7_APIME		Uncharacterized protein														1587.07	1951.48	1274.25	819.731																																					1300.34	1511.8	910.505																																						1284.73		940.713																																										729.327																																						1256.61	1554.56	527.33																																										594.826	717.062																																																																																																																		780.036		821.051																																							785.471	549.683											2775.07												
A0A7M7FZF5	A0A7M7FZF5	A0A7M7FZF5_APIME	725062	Uncharacterized protein	10863	6521.29																																							4190.79						1974.58																																		2976.86																																																																																																																								55029.7	28804.2	25581.5	8627.67																																																																																																																																																																																					6955.52															
A0A7M7FZG2;A0A7M7GYY2	A0A7M7FZG2;A0A7M7GYY2	A0A7M7FZG2_APIME;A0A7M7GYY2_APIME	725324	Exonuclease domain-containing protein																						989.706	4376.79																																							3329.62	2875.81	4874.92																												888.562					783.583			459.698		2533.24	13000.6	7627.43								41298.3			17021.1	16570.8	14438.3	15092.8		13467.7																						364.831		2721.06	9479.5	5436.22																																					2488.12	10187.9	7000.96	2322.24																																							525.362	1740.61	6125.7	4214.47	2252.13																																			3778.94	4758.02	2611.95	2447.1																																					2808.37	3835.36	4331.47																																					2164.9	8817.6	10804.4	3327.33	3159.8						4285.86	4527.05																														3208.28	4654.69	3472.5														
A0A7M7FZG5	A0A7M7FZG5;A0A7M7KLM3	A0A7M7FZG5_APIME	727128	60S ribosomal protein L34		4963.22	5118.98		8717.82		7334.78		3218.75	1925.4	3260.57																																																												13393.7										9732.19		5115.79	4569.44	4060.36			2842.41			4895.54	3696.16																	6899.29		12202.7										13411.6							7498.32					8076.45																												9174.48																																								17669.8	26032.5	15963	10976.4	13250.4		10387			13651.5	13559.8	16591	11538.6	7683.16	12013.3	14553.6	13855.7	6693.91																							7758.89		7000.35							4364.82		3781.21																																								8504.2																													18748.1	8194.36										7809.32																													13473.1											3428.44																												
A0A7M7FZH0;A0A7M7GAB4	A0A7M7FZH0;A0A7M7GAB4	A0A7M7FZH0_APIME;A0A7M7GAB4_APIME	725363	Isopentenyl-diphosphate Delta-isomerase																							3337.4	19392.9	53270.2	24846	9951.3	6293.16	3209.98			7505.51	6672.56		4353.77		7373.34																										8073.09	54645.4	46182.4	22159.2	16015.5	6451.3	4251.32	3818.08			4828.8	3836.28		6070.55			23886.6				50322.7									14026.1											10308.4	74392.3	78666.8	24772.2	14232.4	10926.2	6623.38		4768							25986.1																											7955.98	45392.5	24906.8	24811.2	12223.7	8966.49	7737.86		6633.72	3604.42	3718.81	23843.4	15551.5	3383.44																			51778.9	38537						4311.41	40756.8	72922.3	30119.2	13776.9	11694.4	9487.42	10245.3	6352.59	5206.77	6391.16	7420.96	8341.88	7015.5	5809.16	7525.87	6121.06																											2022.77	17782.8	37309.9	25463.9	11742.1	8833.42	9690.25	3698.72	4309.96	5483.85	7172.95	6520.34	3865.68	2620.76																									3250.37	19287.3	22238.4	17811.1	11785.4	7336.37	11593.5	13279.5		3847.1	4421.26	7263.25	5025																											2461.64	12814.4	50903.7	17591.3	17172.7	7469.59	12429.5	5044.85	7856.15		7008.22			7398.47		12217.4	9742.77																								4432.02	39548	88573.4	8510.04	12074.3	11479.6	10647.6	4568.5	6584.09	11620.4	8341.82		10065.5		7060.86	8070.09	6153.79																					1713.33			2164.91	19930	66864.7	27375.8	14947.2	6177.27	8350.35			5892.03			8737.87	5496.6		5872.49	4191.47
A0A7M7FZI1;A0A7M7GA50	A0A7M7GA50;A0A7M7FZI1	A0A7M7FZI1_APIME;A0A7M7GA50_APIME	727483	Uncharacterized protein									8483.2	16857.6	29828.1	79020.3																																					6468.59	11312.5	29888.6	39240.4	24008.8																																						46243.7																																																																															7519.47	11783.1	32505.4	50519.3																																										20396.8		46867.8																																																																																																																																																																																							
A0A7M7FZI7;A0A7M7ILE8	A0A7M7FZI7;A0A7M7ILE8	A0A7M7FZI7_APIME;A0A7M7ILE8_APIME	725165	Uncharacterized protein																													25467.4	27030.5	16585		12157.7	39093.2	55921.4	35825	42121.7	40312.2	34040.6	41245.9																														12815.4	17380.6	24339.4	17504.6	25376.4		24367		35145.2	43516.4	28890.7																																	12352.3		31816.5	20766.8	23288.4	28885.7		18820.5																																		7632.53	19339.5	30208.4	36618.3	12800.2	22963.8	29770.5																																4982.78		11593.7	20372.2	17054	37533.1	32821	30437.4	21298																																		29639.4	56942.5	118952	92110.9	121731	105649	123160																																				17127.4			25610	38029.9																																20179.3	35588.8	17949.2	53741.3	31341.8	44940.5		37293.7	27298.4																																		18145.3	31308.8	38469.9	29103.8	36750.3	27015.9	38412.6																																15366.9	21647.9	52660.5	30593.4	44156.1	45221.5	7833.03	18729	40310.6
A0A7M7FZI8	A0A7M7FZI8	A0A7M7FZI8_APIME		Trafficking protein particle complex subunit																		602.618																							5646.73				6276.83	3427.95	2936.58	5730.74	6828.95	4443.05	3318.83	3663.06	2414.07	3329.89		1430.03	882.14																								5303.01		6607.71		2146.42	4261.51			2861.12	2636.68	1722.93	2107.29	2473.14																																				2663.23					1403.71																											10089.3	7032.8	9174.06	4869.1	2786.62	5236.44	6944.78	5439.01	6609.94	6388.93	5571.88	4668.13	4118.16	3643.58	3846.11	2983.79	2116.9	1831.4	608.723																							6851.39	3905.93													1747.31	1470.97																								10691.2	9358.39	8932.19	3607.9				1663.01	5483.04	3210.8	4310.04	3716.38	3974.82																												8362.13							5223.47		4950.22	5065.62	3573.2		3738.77			2299.65																																																																							3396.9	1858.78	3554.09	2830.21	2891.62			972.386																									
A0A7M7FZK7	A0A7M7GRN1;A0A7M7FZK7	A0A7M7FZK7_APIME	725599	Uncharacterized protein																							3091.93																									6401.17	6776.65	6541.61	4325.13	3869.47																			8103.85	13627.3	8029.57	5811.62															5370.86	2795.75	3274.74		8800.05		2155.7																7420.32		16308.5																			7349.31		2316.35		2429.68																		4818.04								1273.43					3587.89	4244.75	5823.32	5908.84	5666.14	4806.04	4070.34	3291.73													2355.98						10024.6	13399.6	7339.48				5846.36																	2775.21																																		6087.37	4782.53	4739.49																						9096.22	25928.6	11347.6																7013.08	3820.31																						9080.93																					1790.5																		11956.3	10516.2															5853.56	5582.05		2897.07				2713.35																	21029						
A0A7M7FZQ1	A0A7M7FZQ1	A0A7M7FZQ1_APIME		Uncharacterized protein	11176.2	8892.38	7353.98		83612.5	4457.05	4604.45	3498.33	4819.65	5370.31	6186.96	13555.7	13199.3	8123.38	7347.86	3458.98	4196.74	2198.76	4640.16	25652.5	18722.2	6785.87	8585.97	7968.48	8450.5	10916.8	5363.77	7722.52	6622.31		4970.26	5176.38	4798.41	5604.31	5965.2	12459	8640.31		12471.1	4555.69		5928.74	2149.24		8164.34		2527.62	2614.47	2373.93	2115.29	2223.49	2439.57	2771.98	2363.83	2382.79				2327.38	4564.89	6593.65	5362.58	4575.28	7473.44	6059.42		4460.77	5772.65	3607.58	6937.38		7919.25	5085.25	5717.3		9295.62		9027.33	3658.05	10233.3	15168.9		9208.23	10216.6	7067.05	8482.61		7974.91	6604.29	5984.85	6277.64	6189.22	9060.67	6556.25	3618.92	3251.85	2868.8	2507.54	4994.33	19767.2	36730.6	8857.93	17415.6	18867.1	12427.4	7860.14	5685.39	10609.7	14920.3	11886	9181.74	7935.74	9441.28	13934	14010.9	8972.68	21203.6	21650.3		17093.2	20827							2438.16				3531.4	4090.23	5717.27		1958.39		1000.53		1713.13	3339.05	10828.6	13402.1	8917.82	6448.74	9335.53	7036	3522.03					5890.22	3618.2	10444.7			4827.84		7686.56	8654.17	6669.41	7103.01		2839.51	5528.02	4412.6	3881.91	4085.99	4444.22	3447.66	4303.04	5764.97	5157.97	3880.29	2997.95	2075.55	2429.49	1885.59	1863.54	7982.62	9956.45	8652.8	8893.9	12936.1	15444.3	9634.42	7550.33	15315.3	15392	16180.3	15146.5	19165.4	19829.3	28384.3	22067.1	18437.1	23784	20946.9	17631.6	10964.6														1838.53	2572.44	2865.92	2558.73	1955.7	1517.28	1551.8		1288.09	4038	7875.79	5511.64	3609.54	4584.42	3416.06	2752.64	2310.26		3335.27			1912.97					15318.8	12873.9	12382.2	10837.3				3996.7	4204.12	4105.43	4636.27	3900.4	5916.44	6607.75	6387.33	4141.33	4062			2164.83	9266.81	24857.7	23592.2	15807	15275.1	24016.7	8196.18	20820.9			10392.1			8900.23	9051.09	8231.44	10011.8		13645.5	15524.6																1382.09						2936.87	6366.3	3347.45	3836	5199.37	7910.44														13884.6	16133.1								3618.37	2766.71	5780.11	16587.2	10887.7	8046.2	7056.87	3132.37	2313.84	3031.36	4794.04	42452.1	13384.9	7900.08	9650.62	16982.6	18200	3329.94	7736.7	8840.44	11117.1	6597.45	6654.8	5759.34	5609.3	10779.9	6405.28	8570.01	11388.6		9051.94		6832.66	31516								2020.79		3746.02	2526.09	2443.37		1139.59		2038.22		7357.09	5785.86	7446.31	4034.87	5366.98	8761.91	4706.52	4826.06	3721.49			14174.3								
A0A7M7FZR0;A0A7M7LS01	A0A7M7FZR0;A0A7M7LS01	A0A7M7FZR0_APIME;A0A7M7LS01_APIME		Acylaminoacyl-peptidase	118435	82157.9	64737.2	82919.7	95148.4	103513	141467	203607	496758	2.14E+06	2.96E+06	1.43E+06	440611	216831	95557.7	115283	19876.3	77783.1	5594.95	4994.4	3795.37	18887.8	4953.36	11632.7	6950.85	7618.01	11680.7	14588.4	15303.9	18452.8	20795.6	15390	21020.2	42007.3	42666.9	40042.8	35190.7	42469.5	44875.1	30928.5	47512.1	40037.7	34391.9	33421.8	33959.9	43850.7	57132.1	88506.1	397590	1.58E+06	1.55E+06	855225	348394	158094	67231.3	22680.6	123551	8494.85	6751.28	17079.2	4596.15	4009	12953.6	5304.33	9820.5	11430.2	12198.5	12936.7	12854.2	17185.2	24747.5	21356.5	20908	41933.8	162541	33055.4		35293.7	25133.4	30621.5	39405.6		35211.1	39165.6	33277.6	55585.5	60863	109237	502547	1.98E+06	1.82E+06	1.07E+06	393571	182557	73536.8	31285.8	16630	8902.68	17970.8	9654.02	4315.04	5233.18	3937.45	4479.2	6672.73	8627.17	19129.1	15083.1	13751.7	14004.9	18002.7	37579.5	17541.3	20471.3	15020.3	25109.2	25679.5	27326		37744.5	77439.1		37510.9	39070.5	58643.1			56484.5	79157.9	162796		3.23E+06	1.77E+06	674369	210292	106085	25539.8	20730.3	31827.2	10107.6	20035.3	3999.91	4258.39	4383.93	6716.12	3572.71	11746.5	7395.1	6598.54	8004.16	11865.8	12549.8	15277.5	11406.5	19875.4	24646.9	23382	21571.5	25169.8	29166	66977.8	46971.6	35466.8	36962.9	34725.2	41827.4	59564.6	76174.7	98864.3	375304	1.69E+06	1.84E+06	1.02E+06	356121	160858	66610.6	27395	15932.4	10372	6140.73	5338.43	4190.95	3579.81	3639.23	3859.55	6099.16	9292.02	15698.1	11040.3	15438.2	16002.5	16310.4	18209.1	19209.3	21009.8	24238.5	25003.8	21267.5	22587.5	23393.5	70914.9	107516	129267	102287	57502.9	40184.8	41953.6	62999.8	74611.2	87656.1	112979	170667	403553	2.57E+06	4.45E+06	2.98E+06	808514	265666	121555	56054.7	25622.5	13931.5	7390.39	6634.74	5091.14	4997.34	4504.74	4350.48	4820.26	15521.6	6253.13	24744.1	9826.55	7455.96	13710.8	20603.4	30818.3	16674.7	18827.2	14742.8	49109.6	35723	26441.2	23858.7	22485.6	19495.4		38277.2	57864.1	156324	831859	1.59E+06	1.43E+06	557617	210823	91649.7	41167.1	21749.1	11807.7	21132.6	7254.96	5245.84	4750.43	4489.56	8158.11	3995.94	8046.77	10295.2		9987.62	8275.66		7683.04	9790.23	12648.4	11909.4			12242.3	8019.73	36700.4	26931.4	17209.4	15661.7	27888.1	26270.1	16405.2	33425.1	44089.2	110501	925548	2.20E+06	1.14E+06	441062	160751	77851.5	29805.3	17926	10075.9	6453.52	9913.12	9330.49		5107.11	4205.81	5040.52		8579.71				19893.1	10392.8	14124.9	19659.9		21429		22207.8	25567.6	58489.6	65245.4		40985.4	46480.5	38094.9	46049.8	69978.4	121886	457727	2.84E+06	4.48E+06	2.02E+06	471566	229738	85880.1	39201.7	17451.5	44639.7	6793.24	26891.3	13300.5	7014.57	5576.33	7973.56	5188.54	8699.12	3334.09	5318.83	10204.4	10738.4	7964.71	12038	15394.2	10272.6	18447.9	14192	14437.5	24549.5	22693.9	39731.4	31666.4	34194.2	30496.4	43059.5	36995.4	38224.7	42456.1	61372.8	273401	1.70E+06	3.03E+06	1.59E+06	425046	162103	78006.5	36352.7	16808.9	9634.09	6397.55	9023.72	2757.5	2490.27	6416.4	2402.61	2747.72	3201.96	5411.6	2864.21	10963.3	9801.33		12471.9	14651.4	13350.2	23820.6	27814.4	14490.2	27183.5	34269
A0A7M7FZR2;A0A7M7GMB9	A0A7M7GMZ5;A0A7M7FZR2;A0A7M7GMB9	A0A7M7FZR2_APIME;A0A7M7GMB9_APIME		Uncharacterized protein																														34270.2	55801.5		11543.4	19202.9	6996.91		9561.14													1154.42	2171.89	3156.3		6640.22	6491.14	1501.9						1975.32	3148.01	2773.46					3458.87																																	1419.95	2828.37	2519.05											4276.85	4183.7	6958.92	10009.2																									643.484	2915.84	3023.35	1932.27							10474.6					4992.58																									3516.18	5643.03	3600.32							17633.2			6992.03	7194.45																														2078.63	3364.01																																					3701.67	8921.49	5810.16										10717.5				19839.4																								2191.92	2981.99																																							4320.05							24389.5	32169.4		14388.3	17434.8	7736.99	17027.6		21130.4	19275.6																							2475.94	5098.89																
A0A7M7FZR4;A0A7M7H0A8	A0A7M7FZR4;A0A7M7H0A8	A0A7M7FZR4_APIME;A0A7M7H0A8_APIME		KRAP_IP3R_bind domain-containing protein																			6606.69	10854.7	3073.76	1591.61									13410.6	7658.59	15331.5	56561.6	17949.5	75984	103597	79307.6	39190	35508.8									3888.01										3875.1	4034.06	1504.63	1328.89											9654.51	18674.3		40821.3		92996.3	47802.6	28356.7																			8321.28	11766.1	1766.72										7734.7		13627.9			2629.14																								1569.22	979.752	5083.69	3007.73												15005.6	30947.6	45489.9	10001.6	27852.5									9504.82												2573.87	10561.5	3572.74	1864.51										9166.74	15189.2	11579.1	21987.6	21813	28139.6	14299.4	8472.44																							946.666	12405.6	1622.09									6081.9		10489.1	14847.5	30573.7	23736.5	13590.3																							2562.45	1606.72											10296																											2249											8723.9						7728.42	9545.93																				3589	7576.33	2012.34														7497.59	31160	36965.9	19852											9718.33				10101.8							5521.15	3759.76												16727.5			18738.3		6976.85	12229.4
A0A7M7FZR7	A0A7M7FZR7	A0A7M7FZR7_APIME		Uncharacterized protein											3201.21															2823.78	16294.6	42267	93367.5	89252.3	53773.4	15477.7	21348.7	46126.5	52142.1	38333.3	40354.2	28350.6	27834	36056.4																					1991.96	501.751	2395.54	8013.75	15017.5	25218.9	100581	349855	109536	174115	113328	88102.3	22574.5	71535		58070.6		86209.4	73609.9	102401																										61934.6	227492	55355.2		43266.7	49304.1	103515	33379.6		34651.9	40634.4	28745.1	36480		26815.3					12149.2											1975.64												27669.1	46244	46141.6	154291	71740.7	48495.9	30535.4	47437.9	53821.1	49878.2	20950.8	36309.1	42456.8													712.328		676.027												21414.7	251988	453829	35412.3	78713.2	85872.8	65962.9	63102.8	56304.2	48803.8	55162.5	49248.9	43239.5	41392.2																													10698	11410.5	36838.6		47226.6	134768	49826	41547.5	45821.9	21062.1	23516.2	25051.8																										473.362			744227	1.24E+06	92156.7	173559	127875	97732.6	105832	85635.1	68648.4		56423.5	74408.5																									1779.23	5589.19	12362.6	24792	61419.9	224708	309377	216075	148406	46368.6	124917	41536.1	97683.1	69334.7	95290.6	74795															3114.26														39452.2	109887	111724	74048.9	15309.1	36241.8	38749.8	51976.2	47893.9	49712.7	54426.4	70213.6																												6733.74	21964.4	143409	123773	104763	93929.6	78346.5	56744.3	58647	54279.8	14051	44610.2	58486.3
A0A7M7FZS1;A0A7M7GTG2;A0A7M7GTI6;A0A7M7GVW6;A0A7M7GYI4;A0A7M7H0W6;A0A7M7IIG9	A0A7M7GVW6;A0A7M7FZS1;A0A7M7GYI4;A0A7M7IKF3;A0A7M7GTI6;A0A7M7IIG9;A0A7M7GTG2;A0A7M7GU17;A0A7M7H0W6	A0A7M7FZS1_APIME;A0A7M7GTG2_APIME;A0A7M7GTI6_APIME;A0A7M7GVW6_APIME;A0A7M7GYI4_APIME;A0A7M7H0W6_APIME;A0A7M7IIG9_APIME		Uncharacterized protein																																																																					4577.26	5129.12																																							3897.32																																										9621.46																																																																																																																																																																																																																																																									
A0A7M7FZS7	A0A7M7IG90;A0A7M7IFT4;A0A7M7FZS7	A0A7M7FZS7_APIME	726362	Uncharacterized protein	9099.54			7402.36			5314.38	8791.74	3979.64	3663.24	5862.1	4525.9	4842.12	4232.85	5391.78	4080.38	3614.44	2603.38	2552.44	4659.92	7940.92	22521.8	17705.3	9278.57	9142.01	9237.43	12916.1	13198.6	16637.5	36818.5	42432	15971.8	19472.6	18301.5	19781	17423.6	13060.8	14180.7	14926	12468.8		10858.4						1783.15	2964.73	3867.14	3994.48	5194.2	4643.95	4727.46	4258.3	2962.9	3158.12	3099.79	3404.2	9573.43	33055	31344.4	21826.8	17287.9	12093.7	19991.3	12581.3	15550.7	21515.9	15714.1	18332.4	16106.7	12684.5	11953.3		11785.9		14903.3	9834.41	10118.5	4737.89		10022.4	64070.5		1862.59		2540.69	2682.96	3359.99	2417.4	3740.5	4405.43	3371.81	1735.41	2874.39	2195.83	2951.4	3551.47	7319.32	12213.5	31884.3	19845.8	11946.5	12340.5	16075.1	13189.6	21364.1	10075.3	18993.6	17120.7	8040.54	13980.4		22230.6	19154.1	13673.3	13780.5		12888.8												4374.77	2718.58	2800.66			1084	3216.28		3559.3	4043.05	10562	22337.9	32346.7	18081.5	9604.99	9132.45	7981.15	8655.59	5465.37	11140.2	10197.1	12986.8	15571.5	18579.3	11850.6	9289.76	14681.9	13356	11531.9	5762.41	9986.29	11880.7	4729.42	5376.31	4963.88	5107.69	2466.34	2281.77	3038.62	2627.91	3036.79	3589.11	3791.18	4709.01	3032.22	2994.38	2868.61	3312.78	3355.43	6408.18	16041	36163.7	31068.3	15132.6	12624.8	10367.1	10014.1	7753.67	11500.8	13240.9	15663.3	16994.2	12965.2	13811.1	13586.9	9495.71	12523.1	7915.4	9853.17				3254.3									3595.75	4888.58	5104.23	4717.33	6463.8	4817.66	4739.65	2586.09	2290.26	1537.18	1880.65	2309.27	3214.05	12584.7	27375.4	11800.1	10199.8	7829.87	5900.62		7013.43	23520.7	18893.8	14799.9	12985.5	10265.1	11989.7	9789.2		7559.1	11534.7					4594.18		2585.31	3682.91	4594.05	4414.69	4433.19	6467.71	6307.02	5487.02	5619.97	3542.85	3696.76	6503.47	10235.8	27401.5	57715.8	42479.1	21212.5	19312.1	16612.3	30524.3	7940.77	16393.3	35936.3	80216.9	18561.5	24214.4	18538.8	14107.4		13922.8	8855.57											4960.29				1786.31	3069.18	2332.84	2563.46	924.678	2197.7	3744.03	11302.5	29380.9	31748.7	20135	11477.8	11019.1	7764.03		10708.9	20052.7	9953.21	15444.4	13014.4		17522	11236.8		8944.23	14673.5		10257.9					19890.1	6987.56			7158.08	9278.06	9378.72	7565.22	8861.05	6313.28	4959.07	3331.87	3243.97	3314.27	8535.98	29784.8	89415.7	63770	26809.4	16818.2	7047.48	11212.4	10263.9	12210.2	19217.2	27002	20110.4	26571.8	16853.9	17901.1	28992.8	18316.3	19108.4	18181			9314.73				5097.06	3718.83	4966.88	4396.64	6317.14	6813.78	7189.17	4143.68	5449.35	4540.6	3670.15	2810.71	2331.9	2459.66	6566.46	14049.3	33563	41837.1	21213.2	15739.3	8388.66	8683.52	13291.2	12274.8	14792.5	22224	11916	17105.3	17850	15757.1	10097.3	15101	13605	11525.5
A0A7M7FZT1	A0A7M7FZT1	A0A7M7FZT1_APIME		Uncharacterized protein																																	3867.95								6005.84		7734.98				1913.18	3264.15	3244.87		2021.05																														12802.7		7366.12	5313.83	6995.75	4092.18			2340.98	2102.95	1313.63	1226.89																													26090.8		8503.98																																						24129.8	11077.6	8064.83							1561.02																															14857.2	22822.7	17537.5	25433.4	15290.1	15534.9	10226.7																																		25097	11877.6	15780.9	14192.3	7354.79				2556.79	2738.31																															13862.1	22051.7	14039.5	13618.3																																					17314.6	20510.8				5501.96																																			14847.2	8511.73	6186.57	7364.55						2025.23																														
